City,Type,Area,Price,Purpose,Location,Built in year,Bedrooms,Bathrooms,price,Area_sqft,price_category,property_age_group,price_per_sqft,region
karachi,flat,128 Sq. Yd.,"PKR
4.75 Crore",For Sale,"DHA Defence, Karachi, Sindh",,2.0,2.0,47500000.0,1152.0,Mid,,41232.63888888889,Sindh
karachi,flat,161 Sq. Yd.,"PKR
6.25 Crore",For Sale,"DHA Defence, Karachi, Sindh",,2.0,3.0,62500000.0,1449.0,High,,43133.19530710835,Sindh
karachi,flat,111 Sq. Yd.,"PKR
3.45 Crore",For Sale,"DHA Defence, Karachi, Sindh",,1.0,2.0,34500000.0,999.0,Mid,,34534.534534534534,Sindh
karachi,flat,106 Sq. Yd.,"PKR
2.98 Crore",For Sale,"DHA Defence, Karachi, Sindh",,1.0,2.0,29800000.0,954.0,Mid,,31236.897274633124,Sindh
karachi,flat,156 Sq. Yd.,"PKR
4.65 Crore",For Sale,"DHA Defence, Karachi, Sindh",,2.0,2.0,46500000.0,1404.0,Mid,,33119.65811965812,Sindh
karachi,flat,217 Sq. Yd.,"PKR
2.6 Crore",For Sale,"Jinnah Avenue, Karachi, Sindh",2024.0,3.0,3.0,26000000.0,1953.0,Mid,New,13312.852022529441,Sindh
karachi,house,240 Sq. Yd.,"PKR
6.75 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2008.0,9.0,6.0,67500000.0,2160.0,High,Moderate,31250.0,Sindh
karachi,house,200 Sq. Yd.,"PKR
1.68 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",,3.0,3.0,16800000.0,1800.0,Mid,,9333.333333333334,Sindh
karachi,house,300 Sq. Yd.,"PKR
8 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2025.0,6.0,6.0,80000000.0,2700.0,High,New,29629.62962962963,Sindh
karachi,flat,189 Sq. Yd.,"PKR
4.4 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,3.0,3.0,44000000.0,1701.0,Mid,New,25867.13697824809,Sindh
karachi,house,131 Sq. Yd.,"PKR
5.2 Crore",For Sale,"DHA Defence, Karachi, Sindh",,2.0,3.0,52000000.0,1179.0,High,,44105.17387616624,Sindh
karachi,house,131 Sq. Yd.,"PKR
4.65 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,2.0,3.0,46500000.0,1179.0,Mid,New,39440.20356234097,Sindh
karachi,flat,106 Sq. Yd.,"PKR
1.2 Crore",For Sale,"DHA Defence, Karachi, Sindh",2015.0,2.0,2.0,12000000.0,954.0,Mid,Moderate,12578.616352201258,Sindh
karachi,house,250 Sq. Yd.,"PKR
10.5 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,5.0,6.0,105000000.0,2250.0,High,,46666.666666666664,Sindh
karachi,upper portion,200 Sq. Yd.,"PKR
4.5 Crore",For Sale,"Jamshed Town, Karachi, Sindh",2013.0,4.0,5.0,45000000.0,1800.0,Mid,Moderate,25000.0,Sindh
karachi,house,250 Sq. Yd.,"PKR
7.5 Crore",For Sale,"Bath Island, Karachi, Sindh",,4.0,4.0,75000000.0,2250.0,High,,33333.333333333336,Sindh
karachi,flat,178 Sq. Yd.,"PKR
3.95 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,3.0,3.0,39500000.0,1602.0,Mid,New,24656.679151061173,Sindh
karachi,flat,161 Sq. Yd.,"PKR
5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,1.0,2.0,50000000.0,1449.0,Mid,New,34506.55624568668,Sindh
karachi,flat,211 Sq. Yd.,"PKR
3.9 Crore",For Sale,"Clifton, Karachi, Sindh",,3.0,3.0,39000000.0,1899.0,Mid,,20537.124802527647,Sindh
karachi,flat,222 Sq. Yd.,"PKR
3.6 Crore",For Sale,"Bath Island, Karachi, Sindh",,3.0,4.0,36000000.0,1998.0,Mid,,18018.018018018018,Sindh
karachi,flat,189 Sq. Yd.,"PKR
3.45 Crore",For Sale,"Clifton, Karachi, Sindh",,3.0,3.0,34500000.0,1701.0,Mid,,20282.186948853614,Sindh
karachi,flat,222 Sq. Yd.,"PKR
3.4 Crore",For Sale,"Frere Town, Karachi, Sindh",,2.0,3.0,34000000.0,1998.0,Mid,,17017.017017017017,Sindh
karachi,flat,222 Sq. Yd.,"PKR
4.6 Crore",For Sale,"Clifton, Karachi, Sindh",,3.0,4.0,46000000.0,1998.0,Mid,,23023.023023023023,Sindh
karachi,flat,262 Sq. Yd.,"PKR
10.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",,3.0,5.0,105000000.0,2358.0,High,,44529.262086514,Sindh
karachi,flat,370 Sq. Yd.,"PKR
5.75 Crore",For Sale,"Rashid Minhas Road, Karachi, Sindh",2022.0,4.0,5.0,57500000.0,3330.0,High,New,17267.267267267267,Sindh
karachi,flat,98 Sq. Yd.,"PKR
3.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",,1.0,2.0,35000000.0,882.0,Mid,,39682.53968253968,Sindh
karachi,flat,157 Sq. Yd.,"PKR
5.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",,1.0,2.0,55000000.0,1413.0,High,,38924.2745930644,Sindh
karachi,flat,178 Sq. Yd.,"PKR
6.3 Crore",For Sale,"DHA Defence, Karachi, Sindh",2010.0,2.0,4.0,63000000.0,1602.0,High,Moderate,39325.84269662921,Sindh
karachi,house,111 Sq. Yd.,"PKR
3.4 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,1.0,2.0,34000000.0,999.0,Mid,New,34034.03403403403,Sindh
karachi,flat,111 Sq. Yd.,"PKR
3.6 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,1.0,2.0,36000000.0,999.0,Mid,New,36036.036036036036,Sindh
karachi,house,500 Sq. Yd.,"PKR
4.85 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2025.0,5.0,6.0,48500000.0,4500.0,Mid,New,10777.777777777777,Sindh
